sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Nike Training","1801260339",,2018-02-28 04:18:08 +0200,2018-02-28 03:47:16 +0200,2018-02-28 04:17:38 +0200,"HKWorkoutActivityTypeFunctionalStrengthTraining",30,"min",0,"km",100,"kcal"
"Nike Training","1801260339",,2018-03-09 03:53:05 +0200,2018-03-09 03:43:53 +0200,2018-03-09 03:53:05 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",6.966666666666667,"min",0,"km",40,"kcal"
"Nike Training","1803092228",,2018-04-01 04:02:29 +0200,2018-04-01 03:16:40 +0200,2018-04-01 04:02:29 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",45,"min",0,"km",159,"kcal"
"Nike Training","1804231719",,2018-05-23 23:02:07 +0200,2018-05-23 22:54:00 +0200,2018-05-23 23:02:07 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",7.433333333333334,"min",0,"km",40,"kcal"
"Nike Training","1805160415",,2018-06-02 00:40:48 +0200,2018-06-01 23:54:37 +0200,2018-06-02 00:40:48 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",45,"min",0,"km",240,"kcal"
"Nike Training","1805160415",,2018-06-06 01:51:54 +0200,2018-06-06 01:20:44 +0200,2018-06-06 01:51:54 +0200,"HKWorkoutActivityTypeFunctionalStrengthTraining",28.13333333333333,"min",0,"km",190,"kcal"
"Nike Training","1807030228",,2018-07-13 01:59:40 +0200,2018-07-13 01:44:26 +0200,2018-07-13 01:59:40 +0200,"HKWorkoutActivityTypeMixedMetabolicCardioTraining",15,"min",0,"km",60,"kcal"
"Nike Training","1906181953",,2019-07-17 01:05:56 +0200,2019-07-17 00:58:17 +0200,2019-07-17 01:05:03 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",6.483333333333333,"min",0,"km",40,"kcal"
"Nike Training","1907152137",,2019-07-19 04:09:41 +0200,2019-07-19 03:39:35 +0200,2019-07-19 04:09:41 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",29.85,"min",0,"km",129,"kcal"
"Nike Training","1907222351",,2019-08-08 04:16:19 +0200,2019-08-08 03:43:19 +0200,2019-08-08 04:16:19 +0200,"HKWorkoutActivityTypeHighIntensityIntervalTraining",30,"min",0,"km",225,"kcal"
"Nike Training","1910152337",,2019-10-29 02:50:50 +0200,2019-10-29 02:30:20 +0200,2019-10-29 02:50:50 +0200,"HKWorkoutActivityTypeFunctionalStrengthTraining",20,"min",0,"km",95,"kcal"
